pair,prob
['40259' '41151'],0.9999994
['01059' '01039'],0.9999994
['44009' '44949'],0.9999994
['28491' '28481'],0.9999994
['44941' '45469'],0.9999994
['49159' '49141'],0.9999994
['01511' '01129'],0.9999994
['94049' '84669'],0.9999994
['68101' '68089'],0.9999994
['90031' '90059'],0.9999994
['59509' '59721'],0.9999994
['14131' '14119'],0.9999994
['16991' '19051'],0.9999994
['54481' '54589'],0.9999993
['08041' '04151'],0.9999993
['04121' '04019'],0.9999993
['04239' '05029'],0.9999993
['03151' '05189'],0.9999993
['43379' '43331'],0.9999993
['03071' '03021'],0.9999993
['51079' '51111'],0.9999993
['01519' '01129'],0.9999993
['67601' '67261'],0.9999993
['83181' '83079'],0.9999993
['45091' '45229'],0.9999993
['14489' '14281'],0.9999993
['01549' '07589'],0.9999993
['99021' '99099'],0.9999993
['99029' '99099'],0.9999993
['03019' '03381'],0.9999993
['97079' '97081'],0.9999993
['75411' '75409'],0.9999993
['18121' '18051'],0.9999993
['13141' '13179'],0.9999993
['01119' '07561'],0.9999993
['08079' '07517'],0.9999993
['03151' '05421'],0.9999993
['99039' '99091'],0.9999993
['67609' '67271'],0.9999993
['67609' '67279'],0.9999993
['44689' '44081'],0.9999993
['80159' '02169'],0.9999993
['28469' '28359'],0.9999993
['04121' '04159'],0.9999993
['28451' '28349'],0.9999993
['03151' '05269'],0.9999993
['01629' '01549'],0.9999993
['01013' '01631'],0.9999993
['99029' '99089'],0.9999993
['01629' '01541'],0.9999993
['01013' '01639'],0.9999993
['55509' '54259'],0.9999993
['77091' '77119'],0.9999993
['67109' '65049'],0.9999993
['04179' '04143'],0.9999993
['05429' '05651'],0.9999993
['84139' '84031'],0.9999993
['10021' '05631'],0.9999993
['99039' '99101'],0.9999993
['99039' '99099'],0.9999993
['99029' '99091'],0.9999993
['03529' '03021'],0.9999993
['53231' '53309'],0.9999993
['28539' '21449'],0.9999993
['17181' '17179'],0.9999993
['42191' '43011'],0.9999993
['05019' '05429'],0.9999993
['83249' '93119'],0.9999993
['55159' '55189'],0.9999993
['96419' '96391'],0.9999993
['01019' '01639'],0.9999993
['14489' '14271'],0.9999993
['42181' '43631'],0.9999993
['08019' '04339'],0.9999993
['59739' '59501'],0.9999993
['85051' '85099'],0.9999993
['17039' '16159'],0.9999993
['44521' '45231'],0.9999993
['08069' '04143'],0.9999993
['14309' '14299'],0.9999993
['03011' '05319'],0.9999993
['44539' '44459'],0.9999993
['05059' '05319'],0.9999993
['28389' '28391'],0.9999993
['44521' '44531'],0.9999993
['28519' '28571'],0.9999993
['80159' '01611'],0.9999993
['14169' '14351'],0.9999993
['15221' '16011'],0.9999993
['83209' '83063'],0.9999993
['18041' '18289'],0.9999993
['03019' '05319'],0.9999993
['80161' '01229'],0.9999993
['04029' '07551'],0.9999993
['01621' '02159'],0.9999993
['13159' '13171'],0.9999993
['52451' '50991'],0.9999993
['10069' '10129'],0.9999993
['04179' '04167'],0.9999993
['48029' '48031'],0.9999993
['45279' '45299'],0.9999993
['05411' '05629'],0.9999993
['14271' '14299'],0.9999993
['49199' '49229'],0.9999993
['04239' '05022'],0.9999993
['17021' '17389'],0.9999993
['01541' '01013'],0.9999993
['01119' '04029'],0.9999993
['28401' '28411'],0.9999993
['16171' '16099'],0.9999993
['04179' '04142'],0.9999993
['16181' '16199'],0.9999993
['14269' '14281'],0.9999993
['01013' '07517'],0.9999993
['43381' '43369'],0.9999993
['03019' '03021'],0.9999993
['16161' '16159'],0.9999993
['16159' '17121'],0.9999993
['83189' '83079'],0.9999993
['43531' '43329'],0.9999993
['16179' '16099'],0.9999993
['45239' '44531'],0.9999993
['14331' '14191'],0.9999993
['44509' '44561'],0.9999993
['42209' '42299'],0.99999917
['05189' '05129'],0.99999917
['45091' '45221'],0.99999917
['19049' '19051'],0.99999917
['43531' '43321'],0.99999917
['96059' '96441'],0.99999917
['01231' '01559'],0.99999917
['68201' '68061'],0.99999917
['05429' '05259'],0.99999917
['44551' '44591'],0.99999917
['16219' '16221'],0.99999917
['67739' '64409'],0.99999917
['08069' '07517'],0.99999917
['05069' '05271'],0.99999917
['15169' '15049'],0.99999917
['05029' '05129'],0.99999917
['98069' '98151'],0.99999917
['44091' '44581'],0.99999917
['05199' '03041'],0.99999917
['14159' '14329'],0.99999917
['44461' '45239'],0.99999917
['21161' '21441'],0.99999917
['44181' '44589'],0.99999917
['18131' '18269'],0.99999917
['01629' '01059'],0.99999917
['04121' '04167'],0.99999917
['15079' '15091'],0.99999917
['03529' '03391'],0.99999917
['17031' '16151'],0.99999917
['44071' '44551'],0.99999917
['56081' '56079'],0.99999917
['07569' '07571'],0.99999917
['05239' '05521'],0.99999917
['44091' '44589'],0.99999917
['44059' '44791'],0.99999917
['67151' '65031'],0.99999917
['28461' '28291'],0.99999917
['44551' '30101'],0.99999917
['03071' '03549'],0.99999917
['67109' '65039'],0.99999917
['14489' '14011'],0.99999917
['68121' '68109'],0.99999917
['42199' '43639'],0.99999917
['80211' '80049'],0.99999917
['42191' '43639'],0.99999917
['43389' '43329'],0.99999917
['14061' '10049'],0.99999917
['01012' '04143'],0.99999917
['01541' '01029'],0.99999917
['83249' '83279'],0.99999917
['10369' '10081'],0.99999917
['14259' '10089'],0.99999917
['01559' '01039'],0.99999917
['65631' '65689'],0.99999917
['03381' '03041'],0.99999917
['07589' '01113'],0.99999917
['27391' '27411'],0.99999917
['44451' '44529'],0.99999917
['03529' '03381'],0.99999917
['67131' '67661'],0.99999917
['05419' '05629'],0.99999917
['44639' '44031'],0.99999917
['18189' '11451'],0.99999917
['65229' '65251'],0.99999917
['80159' '02159'],0.99999917
['44641' '44031'],0.99999917
['14391' '14201'],0.99999917
['43201' '43639'],0.99999917
['26441' '25651'],0.99999917
['54479' '54481'],0.99999917
['01629' '01113'],0.99999917
['83201' '83189'],0.99999917
['98079' '98229'],0.99999917
['97031' '97159'],0.99999917
['14399' '14201'],0.99999917
['01013' '04019'],0.99999917
['83231' '83251'],0.99999917
['96051' '96441'],0.99999917
['01119' '01549'],0.99999917
['83171' '93119'],0.99999917
['05069' '05429'],0.99999917
['94041' '84661'],0.99999917
['17381' '17039'],0.99999917
['14161' '14329'],0.99999917
['10011' '06011'],0.99999917
['01019' '07517'],0.99999917
['16191' '16189'],0.99999917
['01521' '01541'],0.99999917
['01019' '04143'],0.99999917
['83189' '83062'],0.99999917
['83191' '83063'],0.99999917
['05429' '05239'],0.99999917
['03391' '03579'],0.99999917
['65349' '65209'],0.99999917
['04029' '01029'],0.99999917
['65431' '65259'],0.99999917
['44099' '44581'],0.99999917
['04179' '04149'],0.99999917
['14389' '14231'],0.99999917
['80161' '01429'],0.99999917
['14101' '14029'],0.99999905
['83239' '83251'],0.99999905
['43379' '43339'],0.99999905
['52011' '53309'],0.99999905
['48109' '57019'],0.99999905
['01119' '07551'],0.99999905
['93111' '83219'],0.99999905
['55309' '55169'],0.99999905
['05019' '05421'],0.99999905
['65251' '65201'],0.99999905
['13189' '13171'],0.99999905
['67601' '65011'],0.99999905
['44689' '44599'],0.99999905
['44909' '45009'],0.99999905
['43381' '43699'],0.99999905
['28539' '28411'],0.99999905
['44499' '45231'],0.99999905
['44539' '44491'],0.99999905
['48111' '48019'],0.99999905
['14161' '14179'],0.99999905
['52071' '50171'],0.99999905
['54489' '54471'],0.99999905
['54489' '54439'],0.99999905
['01129' '01559'],0.99999905
['42199' '43631'],0.99999905
['45421' '45399'],0.99999905
['99071' '99099'],0.99999905
['45279' '45301'],0.99999905
['14141' '14109'],0.99999905
['43539' '43329'],0.99999905
['28391' '28411'],0.99999905
['14491' '14359'],0.99999905
['55039' '55221'],0.99999905
['71121' '71099'],0.99999905
['44521' '45239'],0.99999905
['52479' '50191'],0.99999905
['19041' '19051'],0.99999905
['44569' '44181'],0.99999905
['99129' '99109'],0.99999905
['59721' '59499'],0.99999905
['21379' '22591'],0.99999905
['43531' '43331'],0.99999905
['14159' '14041'],0.99999905
['43389' '43321'],0.99999905
['44099' '44569'],0.99999905
['83249' '83219'],0.99999905
['05019' '05189'],0.99999905
['99031' '99109'],0.99999905
['44099' '44189'],0.99999905
['99049' '99111'],0.99999905
['45311' '45259'],0.99999905
['55249' '55251'],0.99999905
['28539' '21711'],0.99999905
['43349' '43321'],0.99999905
['18129' '18051'],0.99999905
['42191' '43631'],0.99999905
['44099' '44561'],0.99999905
['21399' '21411'],0.99999905
['65191' '65241'],0.99999905
['43341' '43339'],0.99999905
['24461' '24401'],0.99999905
['10069' '10391'],0.99999905
['43401' '43339'],0.99999905
['44091' '44189'],0.99999905
['67139' '65031'],0.99999905
['01119' '01013'],0.99999905
['05641' '05429'],0.99999905
['68201' '68069'],0.99999905
['14501' '14399'],0.99999905
['43381' '43339'],0.99999905
['13079' '13062'],0.99999905
['18151' '18051'],0.99999905
['44539' '44949'],0.99999905
['01511' '01229'],0.99999905
['01059' '07561'],0.99999905
['21019' '21561'],0.99999905
['67121' '65031'],0.99999905
['67609' '67219'],0.99999905
['84369' '84559'],0.99999905
['94059' '84691'],0.99999905
['67601' '67219'],0.99999905
['05019' '05269'],0.99999905
['14189' '15041'],0.99999905
['43169' '43441'],0.99999905
['18021' '18099'],0.99999905
['44089' '44551'],0.99999905
['10501' '10349'],0.99999905
['21249' '21431'],0.99999905
['54289' '54271'],0.99999905
['44551' '44599'],0.99999905
['45099' '49019'],0.99999905
['01529' '01129'],0.99999905
['01119' '07571'],0.99999905
['46109' '46151'],0.99999905
['44099' '44081'],0.99999905
['83199' '83099'],0.99999905
['03031' '03041'],0.99999905
['97141' '97159'],0.99999905
['44081' '44551'],0.99999905
['28501' '28591'],0.99999905
['01119' '07589'],0.99999905
['97031' '97141'],0.99999905
['28531' '21719'],0.99999905
['93129' '93201'],0.9999989
['43539' '43321'],0.9999989
['43321' '43379'],0.9999989
['59031' '59499'],0.9999989
['59429' '59499'],0.9999989
['68021' '67089'],0.9999989
['44501' '44561'],0.9999989
['43341' '40339'],0.9999989
['14331' '14399'],0.9999989
['43531' '40321'],0.9999989
['44049' '44641'],0.9999989
['43761' '43452'],0.9999989
['05259' '05521'],0.9999989
['83191' '83099'],0.9999989
['67601' '67459'],0.9999989
['21379' '21361'],0.9999989
['67601' '64629'],0.9999989
['13079' '13063'],0.9999989
['28091' '28601'],0.9999989
['99049' '99119'],0.9999989
['15211' '15071'],0.9999989
['43409' '43339'],0.9999989
['10651' '14249'],0.9999989
['28529' '28551'],0.9999989
['01639' '07561'],0.9999989
['14069' '10017'],0.9999989
['51139' '53111'],0.9999989
['44209' '44211'],0.9999989
['14391' '14209'],0.9999989
['97039' '97149'],0.9999989
['18121' '18159'],0.9999989
['05421' '05259'],0.9999989
['51071' '51119'],0.9999989
['01519' '01229'],0.9999989
['83249' '93111'],0.9999989
['01521' '01139'],0.9999989
['05241' '05239'],0.9999989
['44469' '45239'],0.9999989
['07589' '07569'],0.9999989
['50161' '50059'],0.9999989
['05421' '05239'],0.9999989
['05271' '05239'],0.9999989
['44399' '44531'],0.9999989
['43341' '43369'],0.9999989
['10059' '10391'],0.9999989
['44079' '44551'],0.9999989
['58039' '58269'],0.9999989
['44049' '44791'],0.9999989
['50159' '50229'],0.9999989
['28399' '28411'],0.9999989
['93059' '92071'],0.9999989
['18049' '18261'],0.9999989
['65199' '67671'],0.9999989
['67609' '67459'],0.9999989
['67609' '64621'],0.9999989
['50161' '50179'],0.9999989
['05269' '05241'],0.9999989
['67111' '65039'],0.9999989
['44181' '44871'],0.9999989
['49019' '49139'],0.9999989
['44341' '44771'],0.9999989
['17381' '17041'],0.9999989
['67609' '64629'],0.9999989
['28509' '28591'],0.9999989
['53239' '53009'],0.9999989
['05241' '05521'],0.9999989
['01549' '01109'],0.9999989
['44241' '44609'],0.9999989
['99031' '99129'],0.9999989
['96391' '96411'],0.9999989
['65191' '65169'],0.9999989
['14399' '14209'],0.9999989
