id,lat,lng,planningArea,tap_in,tap_out,deficit,avg_flow,pop_multiplier,pop_estimate
65601,1.407698056,103.89849,PUNGGOL,1737,2460,-723,2098,0.0002851334956156988,49
65381,1.40206799999564,103.90976700000783,PUNGGOL,9605,20709,-11104,15157,0.0020599468031683252,359
65391,1.40587968028504,103.91251694444946,PUNGGOL,28316,107140,-78824,67728,0.009204728975719756,1605
65319,1.40257805553795,103.91244500001986,PUNGGOL,65387,46101,19286,55744,0.007576016005529796,1321
65371,1.40288670334271,103.91626762051331,PUNGGOL,22209,75075,-52866,48642,0.006610802427902201,1153
65419,1.39946209125417,103.91395382625832,PUNGGOL,10745,12865,-2120,11805,0.0016043855651779427,279
65429,1.39678724110144,103.912022758935,PUNGGOL,10251,16717,-6466,13484,0.0018325739060448436,319
65411,1.39944781445392,103.91384912994876,PUNGGOL,15826,10122,5704,12974,0.0017632611878541829,307
65379,1.40280775893278,103.91633762054916,PUNGGOL,61037,29318,31719,45177,0.006139883666077418,1071
65311,1.40201500002599,103.91285694443438,PUNGGOL,38852,65513,-26661,52182,0.0070919142365197295,1237
65399,1.40580472725369,103.91259546667418,PUNGGOL,101643,23474,78169,62558,0.008502088283473251,1483
65389,1.40225699999819,103.91007199999862,PUNGGOL,28009,10643,17366,19326,0.0026265442975543347,458
55281,1.39813695687252,103.82881324249821,YISHUN,1125,1720,-595,1422,7.131453909368248e-05,15
59011,1.40205059877403,103.82737908252,YISHUN,3825,24357,-20532,14091,0.000706675928529592,156
59021,1.40922833847299,103.82908330455543,YISHUN,3034,12763,-9729,7898,0.0003960915821110438,87
59029,1.40885843406387,103.82924769115782,YISHUN,6882,4151,2731,5516,0.0002766322064984195,61
59019,1.40217670308957,103.82763036053306,YISHUN,24640,3872,20768,14256,0.0007149508223062851,158
55289,1.39844339285315,103.82903916367646,YISHUN,1758,1597,161,1677,8.410301129402639e-05,18
98301,1.36001388887382,103.96487611110979,PASIR RIS,10278,113271,-102993,61774,0.005824885501783231,422
98311,1.35930611110109,103.96849111110153,PASIR RIS,26699,71047,-44348,48873,0.0046084053020470075,334
97301,1.35182434688859,103.96979848322833,CHANGI,26357,26120,237,26238,0.008373520679608955,15
97311,1.35255805555221,103.97290111112585,CHANGI,27635,30717,-3082,29176,0.00931114564175131,17
97331,1.3556366037228,103.97509801681349,CHANGI,19851,14798,5053,17324,0.005528732077656282,10
97321,1.36060285135304,103.97464120182451,CHANGI,22147,18462,3685,20304,0.0064797608003193926,11
98319,1.3592369444173,103.96845690524152,PASIR RIS,76886,27993,48893,52439,0.004944655855667609,358
98309,1.35996000001358,103.96473694441013,PASIR RIS,83443,4248,79195,43845,0.004134297679050826,299
83249,1.31786650545216,103.92174594601859,BEDOK,10389,15563,-5174,12976,0.000528439867220524,70
83239,1.3169597007985,103.92246139079549,BEDOK,9877,10197,-320,10037,0.0004087508436569358,54
93119,1.31431984916508,103.92298221289045,BEDOK,3198,10151,-6953,6674,0.0002717946727673996,36
